City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pevek,69.7008,170.3133,0.57,90,100,3.36,RU,1659944642
1,zhigansk,66.7697,123.3711,16.06,63,100,5.2,RU,1659944643
2,hermanus,-34.4187,19.2345,13.78,75,40,1.11,ZA,1659944645
3,qaanaaq,77.484,-69.3632,1.97,61,94,2.6,GL,1659944645
4,ushuaia,-54.8,-68.3,0.81,64,20,0.51,AR,1659944646
5,hilo,19.7297,-155.09,25.71,89,40,2.57,US,1659944647
6,cape town,-33.9258,18.4232,16.18,78,40,4.63,ZA,1659944553
7,mendeleyevsk,55.9082,52.2905,28.58,45,45,0.45,RU,1659944649
8,mayumba,-3.432,10.6554,21.9,78,99,0.94,GA,1659944650
9,anito,12.4497,125.2886,28.93,70,84,1.61,PH,1659944650
10,tuktoyaktuk,69.4541,-133.0374,8.81,72,99,6.21,CA,1659944651
11,qaqortoq,60.7167,-46.0333,7.17,73,85,1.27,GL,1659944652
12,atuona,-9.8,-139.0333,25.24,67,5,7.16,PF,1659944653
13,kahului,20.8947,-156.47,27.01,66,0,6.17,US,1659944654
14,kirs,59.3388,52.2447,28.09,45,24,2.5,RU,1659944655
15,beringovskiy,63.05,179.3167,9.22,58,52,6.52,RU,1659944656
16,new norfolk,-42.7826,147.0587,8.17,72,7,0.41,AU,1659944656
17,leningradskiy,69.3833,178.4167,0.45,94,96,6.59,RU,1659944657
18,busselton,-33.65,115.3333,12.05,67,84,9.2,AU,1659944658
19,punta arenas,-53.15,-70.9167,0.06,93,75,3.09,CL,1659944660
20,pacific grove,36.6177,-121.9166,17.23,87,0,3.09,US,1659944661
21,barrow,71.2906,-156.7887,4.14,82,100,5.73,US,1659944662
22,junqueiropolis,-21.5147,-51.4336,17.17,89,100,2.65,BR,1659944663
23,adre,13.4667,22.2,23.45,74,100,1.75,TD,1659944664
24,ribeira grande,38.5167,-28.7,23.22,83,40,5.14,PT,1659944665
25,bereda,43.2686,-7.5406,21.9,81,11,1.36,ES,1659944665
26,dennery,13.8996,-60.8879,27.05,83,20,9.26,LC,1659944666
27,paso de los toros,-32.8167,-56.5167,4.82,95,4,3.56,UY,1659944667
28,albany,42.6001,-73.9662,23.55,88,18,1.21,US,1659944411
29,tura,25.5198,90.2201,30.89,70,79,2.21,IN,1659944670
30,half moon bay,37.4636,-122.4286,17.95,87,100,6.69,US,1659944670
31,mataura,-46.1927,168.8643,1.93,69,0,4.1,NZ,1659944671
32,chokurdakh,70.6333,147.9167,19.43,31,100,6.04,RU,1659944672
33,ponta do sol,32.6667,-17.1,23.34,80,7,1.67,PT,1659944673
34,bredasdorp,-34.5322,20.0403,15.49,76,99,0.98,ZA,1659944674
35,lebu,-37.6167,-73.65,6.94,87,78,4.2,CL,1659944675
36,puerto ayora,-0.7393,-90.3518,19.19,98,73,4.47,EC,1659944397
37,thompson,55.7435,-97.8558,16.09,100,75,1.03,CA,1659944677
38,saint george,37.1041,-113.5841,31.33,26,0,3.09,US,1659944468
39,hobart,-42.8794,147.3294,8.92,78,20,2.06,AU,1659944418
40,borogontsy,62.6683,131.1683,20.43,57,82,2.91,RU,1659944679
41,san patricio,28.017,-97.5169,31.02,76,43,3.28,US,1659944680
42,viedma,-40.8135,-62.9967,4.17,86,95,2.29,AR,1659944682
43,arsk,56.0915,49.8778,26.88,47,90,1.2,RU,1659944683
44,saldanha,-33.0117,17.9442,12.03,71,4,5.39,ZA,1659944684
45,bambous virieux,-20.3428,57.7575,24.56,69,40,4.63,MU,1659944685
46,havre-saint-pierre,50.2334,-63.5986,11.2,82,0,4.63,CA,1659944686
47,jiazi,22.8779,116.067,30.04,72,56,7.46,CN,1659944687
48,tasiilaq,65.6145,-37.6368,5.09,97,100,0.78,GL,1659944688
49,butaritari,3.0707,172.7902,27.35,78,28,5.08,KI,1659944689
50,ghanzi,-21.5667,21.7833,20.67,18,35,6.52,BW,1659944690
51,sur,22.5667,59.5289,35.13,46,47,2.82,OM,1659944691
52,rivera,-30.9053,-55.5508,9.11,91,100,4.19,UY,1659944517
53,dikson,73.5069,80.5464,7.24,100,100,4.77,RU,1659944693
54,kavaratti,10.5669,72.642,27.06,83,98,10.6,IN,1659944694
55,gwanda,-20.9333,29,25.52,15,0,3.28,ZW,1659944695
56,saint-philippe,-21.3585,55.7679,24.77,73,4,3.83,RE,1659944696
57,castro,-24.7911,-50.0119,13.85,97,100,2.26,BR,1659944697
58,kirovskiy,45.0917,133.5136,25.65,66,0,2.42,RU,1659944698
59,volterra,43.4003,10.86,28.01,48,0,3.19,IT,1659944699
60,tuatapere,-46.1333,167.6833,1.47,74,8,3.69,NZ,1659944700
